Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Will Stewart*,21,2022,North Carolina,11,27,22,4,2,2,0,0,1,0,0,4,11,0.091,0.222,0.182,0.404,4,0,0,0,1,0,,player.fcgi?id=stewar011wil
Hunter Stokely*,21,2022,North Carolina,59,217,186,20,53,9,1,2,25,2,0,21,48,0.285,0.387,0.376,0.763,70,6,10,0,0,0,,player.fcgi?id=stokel000hun
Colby Wilkerson#,21,2022,North Carolina,34,79,63,14,14,1,1,0,4,0,0,8,12,0.222,0.355,0.27,0.625,17,1,5,3,0,0,,player.fcgi?id=wilker000col
Angel Zarate*,22,2022,North Carolina,64,320,284,58,100,19,1,7,40,4,2,30,37,0.352,0.425,0.5,0.925,142,2,6,0,0,4,,player.fcgi?id=zarate000ang
Patrick Alvarez,22,2023,North Carolina,36,112,95,17,33,4,0,3,18,1,0,12,12,0.347,0.441,0.484,0.926,46,2,4,1,0,0,,player.fcgi?id=alvare000pat
Bryce Blaser*,19,2023,North Carolina,7,6,5,0,1,0,0,0,1,0,0,1,3,0.2,0.333,0.2,0.533,1,0,0,0,0,0,,player.fcgi?id=blaser000bry
Johnny Castagnozzi,21,2023,North Carolina,40,160,134,23,36,9,0,5,30,1,0,19,26,0.269,0.377,0.448,0.825,60,4,5,1,1,0,,player.fcgi?id=castag000joh
Casey Cook*,20,2023,North Carolina,60,272,224,45,71,11,1,3,23,2,0,34,43,0.317,0.428,0.415,0.843,93,2,11,1,2,0,,player.fcgi?id=cook--000cas
Carter French*,19,2023,North Carolina,29,25,17,6,5,1,0,0,2,1,0,7,5,0.294,0.5,0.353,0.853,6,0,0,1,0,0,,player.fcgi?id=french000car
Tomas Frick,22,2023,North Carolina,59,272,233,47,75,22,0,12,60,0,0,25,36,0.322,0.408,0.571,0.979,133,7,11,0,3,2,,player.fcgi?id=frick-000tom
Eric Grintz,23,2023,North Carolina,21,54,42,10,9,3,1,0,10,0,0,8,13,0.214,0.389,0.333,0.722,14,3,4,0,0,0,,player.fcgi?id=grintz000eri
Austin Hawke,19,2023,North Carolina,17,37,28,4,3,2,0,0,6,0,0,4,11,0.107,0.278,0.179,0.456,5,0,3,1,1,0,,player.fcgi?id=hawke-000aus
Reece Holbrook*,21,2023,North Carolina,27,37,29,9,6,1,0,0,9,3,0,5,10,0.207,0.361,0.241,0.602,7,1,2,1,0,0,,player.fcgi?id=holbro000ree
Vance Honeycutt,20,2023,North Carolina,50,250,191,51,49,7,1,12,43,19,4,49,51,0.257,0.418,0.492,0.91,94,0,6,1,3,0,,player.fcgi?id=honeyc000rob
Mac Horvath,21,2023,North Carolina,60,292,239,73,73,21,2,24,66,25,4,43,61,0.305,0.418,0.711,1.129,170,2,6,0,4,6,,player.fcgi?id=horvat000mac
Jesse Jaconski,19,2023,North Carolina,8,8,7,2,2,0,0,0,2,0,0,1,3,0.286,0.375,0.286,0.661,2,0,0,0,0,0,,player.fcgi?id=jacons000jes
Joe Jaconski*,20,2023,North Carolina,4,5,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,player.fcgi?id=jacons000joe
