Name,Age,Season,Team,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Michael McAvene,19,2017,Louisville,1,1,0.5,4.15,7,5,,0,0,0,17.1,17,11,8,0,15,0,26,4,0,1,88,1.846,8.8,0,7.8,13.5,1.73,,player.fcgi?id=mcaven000mic
Kade McClure,21,2017,Louisville,8,4,0.667,3.58,18,18,,0,0,0,103,81,47,41,8,36,0,111,9,1,6,427,1.136,7.1,0.7,3.1,9.7,3.08,,player.fcgi?id=mcclur000kad
Brendan McKay*,21,2017,Louisville,11,3,0.786,2.56,17,17,,0,0,0,109,77,34,31,5,35,0,146,1,1,10,436,1.028,6.4,0.4,2.9,12.1,4.17,,player.fcgi?id=mckay-000bre
Shay Smiddy,19,2017,Louisville,1,0,1,3.48,15,2,,0,0,0,20.2,17,10,8,0,16,2,21,0,1,4,91,1.597,7.4,0,7,9.1,1.31,,player.fcgi?id=smiddy000sha
Jake Sparger,23,2017,Louisville,5,1,0.833,3.72,20,0,,0,0,1,29,34,15,12,3,6,1,21,2,0,0,125,1.379,10.6,0.9,1.9,6.5,3.5,,player.fcgi?id=sparge000jak
Riley Thompson,20,2017,Louisville,1,0,1,4.02,14,0,,0,0,0,15.2,14,8,7,1,9,0,23,4,0,2,73,1.468,8,0.6,5.2,13.2,2.56,,player.fcgi?id=thomps000ril
Adam Wolf*,20,2017,Louisville,6,0,1,2.18,24,0,,0,0,1,41.1,30,11,10,0,14,0,35,1,0,1,166,1.065,6.5,0,3,7.6,2.5,,player.fcgi?id=wolf--000ada
Nick Bennett*,20,2018,Louisville,8,2,0.8,2.84,14,11,,0,0,0,73,55,29,23,3,27,0,72,1,1,3,298,1.123,6.8,0.4,3.3,8.9,2.67,,player.fcgi?id=bennet000nic
Sam Bordner,21,2018,Louisville,1,2,0.333,3.38,17,0,,0,0,10,18.2,16,7,7,1,4,0,28,0,0,1,77,1.071,7.7,0.5,1.9,13.5,7,,player.fcgi?id=bordne000sam
Austin Conway,23,2018,Louisville,3,1,0.75,2.25,20,0,,0,0,2,24,18,8,6,4,17,0,27,2,0,2,107,1.458,6.8,1.5,6.4,10.1,1.59,,player.fcgi?id=conway000aus
Stewart Currie,20,2018,Louisville,0,0,,3.38,3,0,,0,0,0,2.2,4,2,1,0,1,0,3,1,0,0,14,1.875,13.5,0,3.4,10.1,3,,player.fcgi?id=currie000ste
Reid Detmers*,18,2018,Louisville,4,2,0.667,4.85,18,8,,0,0,0,55.2,47,31,30,8,34,0,69,7,2,1,253,1.455,7.6,1.3,5.5,11.2,2.03,,player.fcgi?id=detmer000rei
Austin Dickey,20,2018,Louisville,1,0,1,1.23,6,0,,0,0,0,7.1,8,2,1,0,4,0,5,1,0,0,35,1.636,9.8,0,4.9,6.1,1.25,,player.fcgi?id=dickey000aus
Adam Elliott*,20,2018,Louisville,0,1,0,0,15,0,,0,0,2,9.1,6,4,0,0,6,0,11,2,1,1,43,1.286,5.8,0,5.8,10.6,1.83,,player.fcgi?id=elliot002ada
Bryan Hoeing,21,2018,Louisville,7,2,0.778,2.88,24,5,,0,0,0,68.2,63,35,22,4,25,0,51,5,1,8,298,1.282,8.3,0.5,3.3,6.7,2.04,,player.fcgi?id=hoeing000bry
Liam Jenkins,21,2018,Louisville,1,1,0.5,6.46,14,2,,0,0,0,15.1,10,15,11,1,20,0,25,2,0,5,78,1.957,5.9,0.6,11.7,14.7,1.25,,player.fcgi?id=jenkin000lia
Michael Kirian*,19,2018,Louisville,0,0,,12.71,15,1,,0,0,0,11.1,12,18,16,1,14,0,16,5,0,3,65,2.294,9.5,0.8,11.1,12.7,1.14,,player.fcgi?id=kirian000mic
Rabon Martin*,22,2018,Louisville,0,0,,2.93,14,1,,0,0,0,15.1,20,6,5,0,10,2,15,0,0,0,76,1.957,11.7,0,5.9,8.8,1.5,,player.fcgi?id=martin000rab
Michael McAvene,20,2018,Louisville,0,1,0,5.23,11,0,,0,0,2,10.1,9,8,6,1,7,0,15,0,0,2,47,1.548,7.8,0.9,6.1,13.1,2.14,,player.fcgi?id=mcaven000mic
Bobby Miller,19,2018,Louisville,6,1,0.857,2.97,17,9,,0,0,0,66.2,49,30,22,7,21,0,55,7,1,4,278,1.05,6.6,0.9,2.8,7.4,2.62,,player.fcgi?id=miller003bob
J.D. Mundt*,21,2018,Louisville,0,0,,3.86,4,0,,0,0,0,4.2,3,2,2,1,0,0,6,1,0,0,18,0.643,5.8,1.9,0,11.6,,,player.fcgi?id=mundt-000jd-
Shay Smiddy,20,2018,Louisville,5,1,0.833,2.96,23,4,,0,0,3,45.2,37,21,15,4,25,0,56,2,0,3,196,1.358,7.3,0.8,4.9,11,2.24,,player.fcgi?id=smiddy000sha
Gavin Sullivan*,19,2018,Louisville,0,0,,3,7,0,,0,0,0,6,0,2,2,0,8,0,4,1,1,1,26,1.333,0,0,12,6,0.5,,player.fcgi?id=sulliv000gav
Riley Thompson,21,2018,Louisville,1,3,0.25,6.82,11,7,,0,0,0,33,32,29,25,1,25,0,35,6,0,3,164,1.727,8.7,0.3,6.8,9.5,1.4,,player.fcgi?id=thomps000ril
Mac Welsh,22,2018,Louisville,0,0,,0,1,0,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,player.fcgi?id=welsh-000mac
Adam Wolf*,21,2018,Louisville,8,2,0.8,2.63,16,16,,0,0,0,102.2,80,38,30,4,29,0,109,9,1,3,422,1.062,7,0.4,2.5,9.6,3.76,,player.fcgi?id=wolf--000ada
Glenn Albanese,20,2019,Louisville,1,1,0.5,3.72,8,2,,0,0,0,9.2,15,10,4,1,3,0,10,1,0,0,46,1.862,14,0.9,2.8,9.3,3.33,,player.fcgi?id=albane000gle
Nick Bennett*,21,2019,Louisville,7,3,0.7,4.4,16,16,,0,0,0,77.2,77,43,38,10,32,1,76,4,1,2,341,1.403,8.9,1.2,3.7,8.8,2.38,,player.fcgi?id=bennet000nic
Reid Detmers*,19,2019,Louisville,13,4,0.765,2.78,19,18,,0,0,0,113.1,71,35,35,12,33,0,167,7,0,1,444,0.918,5.6,1,2.6,13.3,5.06,,player.fcgi?id=detmer000rei
Austin Dickey,21,2019,Louisville,0,0,,6.35,5,0,,0,0,0,5.2,4,4,4,1,5,0,5,1,0,0,27,1.588,6.4,1.6,7.9,7.9,1,,player.fcgi?id=dickey000aus
Adam Elliott*,21,2019,Louisville,3,2,0.6,2.48,23,0,,0,0,0,32.2,25,10,9,1,18,0,33,1,0,0,137,1.316,6.9,0.3,5,9.1,1.83,,player.fcgi?id=elliot002ada
Bryan Hoeing,22,2019,Louisville,3,4,0.429,3,22,5,,0,0,1,63,55,25,21,4,17,0,75,4,4,7,269,1.143,7.9,0.6,2.4,10.7,4.41,,player.fcgi?id=hoeing000bry
Michael Kirian*,20,2019,Louisville,3,1,0.75,1.69,26,0,,0,0,5,32,26,10,6,2,9,1,42,2,1,4,131,1.094,7.3,0.6,2.5,11.8,4.67,,player.fcgi?id=kirian000mic
Carter Lohman*,19,2019,Louisville,0,0,,4.66,11,1,,0,0,0,9.2,5,7,5,0,8,0,8,2,0,2,45,1.345,4.7,0,7.4,7.4,1,,player.fcgi?id=lohman000car
Michael McAvene,21,2019,Louisville,2,0,1,2.73,23,0,,0,0,7,33,23,10,10,3,11,1,50,2,0,3,129,1.03,6.3,0.8,3,13.6,4.55,,player.fcgi?id=mcaven000mic
Bobby Miller,20,2019,Louisville,7,1,0.875,3.83,20,12,,0,0,2,80,59,36,34,7,38,1,86,8,1,8,340,1.213,6.6,0.8,4.3,9.7,2.26,,player.fcgi?id=miller003bob
Jack Perkins,19,2019,Louisville,3,0,1,4.18,16,4,,0,0,1,32.1,24,20,15,2,18,0,37,3,0,10,140,1.299,6.7,0.6,5,10.3,2.06,,player.fcgi?id=perkin001jac
Jared Poland,19,2019,Louisville,2,1,0.667,4.12,16,0,,0,0,0,19.2,13,9,9,0,11,1,25,2,0,4,80,1.22,5.9,0,5,11.4,2.27,,player.fcgi?id=poland000jar
Garrett Schmeltz*,19,2019,Louisville,0,0,,3.55,15,0,,0,0,0,12.2,13,6,5,0,4,0,13,2,0,1,53,1.342,9.2,0,2.8,9.2,3.25,,player.fcgi?id=schmel000gar
Shay Smiddy,21,2019,Louisville,1,0,1,2.31,19,0,,0,0,0,23.1,11,9,6,1,18,0,28,0,0,2,100,1.243,4.2,0.4,6.9,10.8,1.56,,player.fcgi?id=smiddy000sha
Luke Smith,21,2019,Louisville,6,1,0.857,4.24,18,10,,0,0,0,68,56,36,32,4,24,0,53,10,1,4,290,1.176,7.4,0.5,3.2,7,2.21,,player.fcgi?id=smith-003luk
Kerry Wright,18,2019,Louisville,0,0,,10.61,10,1,,0,0,0,9.1,8,11,11,0,13,0,8,1,0,2,49,2.25,7.7,0,12.5,7.7,0.62,,player.fcgi?id=wright000ker
Glenn Albanese,21,2020,Louisville,0,0,,2.08,5,0,,0,0,0,8.2,5,3,2,1,5,0,18,1,0,2,37,1.154,5.2,1,5.2,18.7,3.6,,player.fcgi?id=albane000gle
Drew Benefield,20,2020,Louisville,0,0,,81,1,0,,0,0,0,0.1,3,3,3,0,0,0,0,0,0,2,4,9,81,0,0,0,,,player.fcgi?id=benefi001dre
Reid Detmers*,20,2020,Louisville,3,0,1,1.23,4,4,,0,0,0,22,16,3,3,1,6,0,48,2,0,2,91,1,6.5,0.4,2.5,19.6,8,,player.fcgi?id=detmer000rei
Adam Elliott*,22,2020,Louisville,1,0,1,0.87,7,0,,0,0,0,10.1,6,2,1,0,3,0,14,0,0,0,40,0.871,5.2,0,2.6,12.2,4.67,,player.fcgi?id=elliot002ada
Ryan Hawks,19,2020,Louisville,0,0,,5.4,5,0,,0,0,0,5,8,3,3,0,0,0,4,2,0,0,25,1.6,14.4,0,0,7.2,,,player.fcgi?id=hawks-000rya
Michael Kirian*,21,2020,Louisville,0,0,,0,6,0,,0,0,6,6.1,2,0,0,0,1,0,11,0,0,0,22,0.474,2.8,0,1.4,15.6,11,,player.fcgi?id=kirian000mic
Tate Kuehner*,19,2020,Louisville,2,1,0.667,4.09,6,2,,0,0,0,11,9,5,5,0,5,0,13,2,0,0,48,1.273,7.4,0,4.1,10.6,2.6,,player.fcgi?id=kuehne000tat
Carter Lohman*,20,2020,Louisville,0,0,,6.75,3,0,,0,0,0,2.2,3,2,2,0,2,0,4,0,0,1,12,1.875,10.1,0,6.8,13.5,2,,player.fcgi?id=lohman000car
Bobby Miller,21,2020,Louisville,2,0,1,2.31,4,4,,0,0,0,23.1,15,7,6,2,9,0,34,1,1,1,93,1.029,5.8,0.8,3.5,13.1,3.78,,player.fcgi?id=miller003bob
Jared Poland,20,2020,Louisville,0,1,0,12.71,5,0,,0,0,0,5.2,11,8,8,2,3,0,7,0,0,0,31,2.471,17.5,3.2,4.8,11.1,2.33,,player.fcgi?id=poland000jar
Michael Prosecky*,19,2020,Louisville,1,1,0.5,4.5,5,3,,0,0,0,18,16,9,9,2,7,0,17,0,0,3,77,1.278,8,1,3.5,8.5,2.43,,player.fcgi?id=prosec000mic
Luke Smith,22,2020,Louisville,3,0,1,3.42,4,4,,0,0,0,23.2,21,11,9,3,4,0,18,3,0,4,100,1.056,8,1.1,1.5,6.8,4.5,,player.fcgi?id=smith-003luk
Kellan Tulio*,19,2020,Louisville,0,0,,6.75,4,0,,0,0,0,2.2,4,2,2,0,2,0,2,0,1,0,13,2.25,13.5,0,6.8,6.8,1,,player.fcgi?id=tulio-000kel
Evan Webster*,18,2020,Louisville,1,1,0.5,1.04,5,0,,0,0,0,8.2,5,1,1,1,5,1,9,0,0,0,36,1.154,5.2,1,5.2,9.3,1.8,,player.fcgi?id=webste000eva
Kerry Wright,19,2020,Louisville,0,0,,0,3,0,,0,0,0,2,1,3,0,0,2,0,2,0,0,2,10,1.5,4.5,0,9,9,1,,player.fcgi?id=wright000ker
Glenn Albanese,22,2021,Louisville,3,1,0.75,3.71,4,3,,0,0,0,17,13,8,7,2,3,0,17,2,0,0,65,0.941,6.9,1.1,1.6,9,5.67,,player.fcgi?id=albane000gle
Trevor Amburgey*,19,2021,Louisville,0,0,,13.5,2,0,,0,0,0,1.1,2,2,2,1,2,0,1,1,0,0,9,3,13.5,6.8,13.5,6.8,0.5,,player.fcgi?id=amburg001tre
Seamus Barrett,20,2021,Louisville,1,0,1,8.18,10,1,,0,0,0,11,13,10,10,3,7,0,18,2,0,3,56,1.818,10.6,2.5,5.7,14.7,2.57,,player.fcgi?id=barret000sea
Kaleb Corbett,19,2021,Louisville,2,1,0.667,3.58,17,1,,0,0,4,27.2,24,12,11,3,10,0,33,3,0,1,117,1.229,7.8,1,3.3,10.7,3.3,,player.fcgi?id=corbet000kal
Adam Elliott*,23,2021,Louisville,5,2,0.714,4.84,20,2,,0,0,4,48.1,37,28,26,10,18,2,49,5,0,2,204,1.138,6.9,1.9,3.4,9.1,2.72,,player.fcgi?id=elliot002ada
Alex Galvan,19,2021,Louisville,0,0,,0,6,0,,0,0,0,5,5,1,0,0,7,0,8,1,0,0,25,2.4,9,0,12.6,14.4,1.14,,player.fcgi?id=galvan000ale
Michael Kirian*,22,2021,Louisville,5,3,0.625,4.8,16,11,,0,0,1,69.1,70,42,37,11,28,0,75,2,0,5,303,1.413,9.1,1.4,3.6,9.7,2.68,,player.fcgi?id=kirian000mic
Tate Kuehner*,20,2021,Louisville,4,5,0.444,3.55,20,2,,0,0,0,45.2,31,22,18,6,24,0,56,5,1,6,197,1.204,6.1,1.2,4.7,11,2.33,,player.fcgi?id=kuehne000tat
Carter Lohman*,21,2021,Louisville,2,2,0.5,5.31,9,3,,0,0,0,20.1,21,18,12,2,16,0,26,4,0,0,99,1.82,9.3,0.9,7.1,11.5,1.63,,player.fcgi?id=lohman000car
Jack Perkins,21,2021,Louisville,1,1,0.5,7.31,11,1,,0,0,1,16,13,18,13,0,22,0,15,2,0,8,86,2.188,7.3,0,12.4,8.4,0.68,,player.fcgi?id=perkin001jac
Riley Phillips*,19,2021,Louisville,0,0,,15.43,6,0,,0,0,0,4.2,8,8,8,1,7,0,8,2,0,0,30,3.214,15.4,1.9,13.5,15.4,1.14,,player.fcgi?id=philli002ril
Jared Poland,21,2021,Louisville,0,1,0,3.94,5,2,,0,0,0,16,11,7,7,3,11,0,14,3,0,2,71,1.375,6.2,1.7,6.2,7.9,1.27,,player.fcgi?id=poland000jar
Michael Prosecky*,20,2021,Louisville,0,0,,8.31,4,1,,0,0,0,8.2,16,10,8,1,7,0,10,0,0,2,48,2.654,16.6,1,7.3,10.4,1.43,,player.fcgi?id=prosec000mic
Cam Robinson,21,2021,Louisville,0,0,,9,9,0,,0,0,0,9,10,10,9,1,7,0,8,2,0,2,46,1.889,10,1,7,8,1.14,,player.fcgi?id=robins001cam
Garrett Schmeltz*,21,2021,Louisville,0,0,,5.89,14,0,,0,0,0,18.1,21,15,12,3,6,0,16,7,0,6,89,1.473,10.3,1.5,2.9,7.9,2.67,,player.fcgi?id=schmel000gar
Luke Seed*,21,2021,Louisville,0,1,0,2.64,12,12,,0,0,0,47.2,41,18,14,2,29,0,44,9,1,3,218,1.469,7.7,0.4,5.5,8.3,1.52,,player.fcgi?id=seed--000luk
Anthony Silkwood?,--,2021,Louisville,0,0,,6.75,2,0,,0,0,0,1.1,4,1,1,0,1,0,2,1,0,0,10,3.75,27,0,6.8,13.5,2,,player.fcgi?id=silkwo000ant
Luke Smith,23,2021,Louisville,3,4,0.429,5.85,12,11,,0,0,0,40,50,31,26,10,17,0,32,4,0,5,188,1.675,11.3,2.3,3.8,7.2,1.88,,player.fcgi?id=smith-003luk
Kellan Tulio*,20,2021,Louisville,0,0,,15.43,4,0,,0,0,0,2.1,3,4,4,0,3,0,1,1,0,1,14,2.571,11.6,0,11.6,3.9,0.33,,player.fcgi?id=tulio-000kel
Evan Webster*,19,2021,Louisville,2,1,0.667,5.5,20,0,,0,0,0,34.1,38,21,21,5,11,0,25,2,0,0,147,1.427,10,1.3,2.9,6.6,2.27,,player.fcgi?id=webste000eva
Ben Wiegman,19,2021,Louisville,0,0,,9,1,0,,0,0,0,1,1,1,1,0,2,0,0,0,0,0,5,3,9,0,18,0,0,,player.fcgi?id=wiegma000ben
Seamus Barrett,21,2022,Louisville,0,0,,11.68,6,3,,0,0,0,12.1,17,18,16,3,9,0,19,3,0,4,66,2.108,12.4,2.2,6.6,13.9,2.11,,player.fcgi?id=barret000sea
Kaleb Corbett,20,2022,Louisville,2,1,0.667,8.1,20,2,,0,0,1,23.1,32,24,21,8,10,1,24,5,0,2,116,1.8,12.3,3.1,3.9,9.3,2.4,,player.fcgi?id=corbet000kal
Adam Dowler*,19,2022,Louisville,0,0,,4.91,14,0,,0,0,0,14.2,20,12,8,0,8,0,18,2,0,3,72,1.909,12.3,0,4.9,11,2.25,,player.fcgi?id=dowler000ada
Jacob Ferris,22,2022,Louisville,0,1,0,6,11,1,,0,0,0,15,19,13,10,2,17,0,18,1,0,0,81,2.4,11.4,1.2,10.2,10.8,1.06,,player.fcgi?id=ferris002jac
Alex Galvan,20,2022,Louisville,0,0,,6.35,16,0,,0,0,0,17,19,12,12,4,6,0,20,1,1,0,76,1.471,10.1,2.1,3.2,10.6,3.33,,player.fcgi?id=galvan000ale
Kade Grundy,20,2022,Louisville,1,1,0.5,6.48,15,2,,0,0,0,16.2,17,15,12,3,12,0,11,1,1,1,79,1.74,9.2,1.6,6.5,5.9,0.92,,player.fcgi?id=grundy000kad
Ryan Hawks,21,2022,Louisville,5,3,0.625,4.96,27,1,,0,0,1,49,54,28,27,9,16,0,65,6,1,3,222,1.429,9.9,1.7,2.9,11.9,4.06,,player.fcgi?id=hawks-000rya
Will Koger,19,2022,Louisville,0,1,0,12.27,11,2,,0,0,0,14.2,24,24,20,4,12,0,10,5,0,2,86,2.455,14.7,2.5,7.4,6.1,0.83,,player.fcgi?id=koger-000wil
Tate Kuehner*,21,2022,Louisville,7,3,0.7,3.57,25,8,,0,0,4,70.2,61,38,28,6,32,2,70,9,1,8,317,1.316,7.8,0.8,4.1,8.9,2.19,,player.fcgi?id=kuehne000tat
J.R. Langworthy,23,2022,Louisville,0,0,,0,3,0,,0,0,0,0.2,0,0,0,0,1,0,0,1,0,0,4,1.5,0,0,13.5,0,0,,player.fcgi?id=langwo000jr-
Carson Liggett,19,2022,Louisville,3,0,1,4.68,18,4,,0,0,0,25,18,14,13,3,15,0,21,4,1,6,112,1.32,6.5,1.1,5.4,7.6,1.4,,player.fcgi?id=ligget000car
Carter Lohman*,22,2022,Louisville,1,2,0.333,6.04,15,4,,0,0,0,25.1,21,19,17,2,26,0,24,7,0,1,128,1.855,7.5,0.7,9.2,8.5,0.92,,player.fcgi?id=lohman000car
Riley Phillips*,20,2022,Louisville,5,1,0.833,4.34,15,13,,0,0,0,58,57,31,28,10,17,0,69,4,0,3,247,1.276,8.8,1.6,2.6,10.7,4.06,,player.fcgi?id=philli002ril
Jared Poland,22,2022,Louisville,5,5,0.5,3.46,17,15,,0,0,0,83.1,79,45,32,9,32,0,103,6,0,5,366,1.332,8.5,1,3.5,11.1,3.22,,player.fcgi?id=poland000jar
Michael Prosecky*,21,2022,Louisville,2,1,0.667,3.38,26,0,,0,0,11,37.1,31,16,14,2,22,0,44,5,0,1,165,1.42,7.5,0.5,5.3,10.6,2,,player.fcgi?id=prosec000mic
Cam Robinson,22,2022,Louisville,1,0,1,9,12,0,,0,0,0,16,21,17,16,2,8,0,22,3,0,0,79,1.813,11.8,1.1,4.5,12.4,2.75,,player.fcgi?id=robins001cam
Garrett Schmeltz*,22,2022,Louisville,2,0,1,3.99,20,3,,0,0,0,29.1,21,15,13,4,14,0,40,5,1,1,121,1.193,6.4,1.2,4.3,12.3,2.86,,player.fcgi?id=schmel000gar
Luke Seed*,22,2022,Louisville,1,1,0.5,9.28,5,3,,0,0,0,10.2,7,11,11,2,10,0,17,2,0,1,50,1.594,5.9,1.7,8.4,14.3,1.7,,player.fcgi?id=seed--000luk
Kyle Walter,19,2022,Louisville,2,0,1,8.25,17,1,,0,0,0,12,14,12,11,2,14,0,11,1,0,4,65,2.333,10.5,1.5,10.5,8.3,0.79,,player.fcgi?id=walter002kyl
Evan Webster*,20,2022,Louisville,2,1,0.667,4.4,21,0,,0,0,1,30.2,31,15,15,6,6,1,31,1,0,4,126,1.207,9.1,1.8,1.8,9.1,5.17,,player.fcgi?id=webste000eva
Ben Wiegman,20,2022,Louisville,3,0,1,5.93,13,2,,0,0,0,13.2,13,9,9,4,11,0,9,3,0,1,66,1.756,8.6,2.6,7.2,5.9,0.82,,player.fcgi?id=wiegma000ben
Tucker Biven,19,2023,Louisville,0,2,0,4.81,16,4,,0,0,0,33.2,38,27,18,7,21,0,26,4,0,4,165,1.752,10.2,1.9,5.6,7,1.24,,player.fcgi?id=biven-000tuc
Kayden Campbell*,19,2023,Louisville,2,1,0.667,5.12,23,0,,0,0,2,19.1,17,12,11,1,8,0,25,7,0,1,89,1.293,7.9,0.5,3.7,11.6,3.13,,player.fcgi?id=campbe000kay
Kaleb Corbett,21,2023,Louisville,0,0,,1.69,18,0,,0,0,0,21.1,15,5,4,1,14,0,22,2,0,3,93,1.359,6.3,0.4,5.9,9.3,1.57,,player.fcgi?id=corbet000kal
Wyatt Danilowicz*,19,2023,Louisville,0,0,,0,4,0,,0,0,0,2.2,2,1,0,0,2,0,4,0,0,0,13,1.5,6.8,0,6.8,13.5,2,,player.fcgi?id=danilo000wya
Greg Farone*,21,2023,Louisville,1,4,0.2,4.8,21,6,,0,0,1,50.2,42,29,27,9,35,1,65,6,0,5,233,1.52,7.5,1.6,6.2,11.5,1.86,,player.fcgi?id=farone000gre
Patrick Forbes,18,2023,Louisville,0,0,,7.71,14,0,,0,0,0,9.1,8,10,8,0,15,0,10,1,0,2,51,2.464,7.7,0,14.5,9.6,0.67,,player.fcgi?id=forbes002pat
Alex Galvan,21,2023,Louisville,0,1,0,6.35,15,0,,0,0,0,11.1,7,9,8,0,12,0,9,0,0,4,52,1.676,5.6,0,9.5,7.1,0.75,,player.fcgi?id=galvan000ale
Kade Grundy,21,2023,Louisville,3,0,1,5.6,17,6,,0,0,1,35.1,30,23,22,7,15,0,31,5,1,1,157,1.274,7.6,1.8,3.8,7.9,2.07,,player.fcgi?id=grundy000kad
Ryan Hawks,22,2023,Louisville,5,3,0.625,4.58,15,14,,0,0,0,76.2,88,42,39,13,23,1,80,7,0,1,332,1.448,10.3,1.5,2.7,9.4,3.48,,player.fcgi?id=hawks-000rya
Will Koger,20,2023,Louisville,2,1,0.667,4.81,16,1,,0,0,0,24.1,24,15,13,4,16,0,25,6,0,2,112,1.644,8.9,1.5,5.9,9.2,1.56,,player.fcgi?id=koger-000wil
Tate Kuehner*,22,2023,Louisville,2,4,0.333,3.99,19,2,,0,0,5,38.1,28,23,17,5,21,1,54,7,0,3,172,1.278,6.6,1.2,4.9,12.7,2.57,,player.fcgi?id=kuehne000tat
Carson Liggett,20,2023,Louisville,7,2,0.778,3.42,14,14,,1,1,0,71,64,28,27,4,29,1,64,3,1,8,301,1.31,8.1,0.5,3.7,8.1,2.21,,player.fcgi?id=ligget000car
Riley Phillips*,21,2023,Louisville,4,2,0.667,4.08,16,4,,0,0,0,35.1,30,16,16,4,24,0,46,1,1,8,159,1.528,7.6,1,6.1,11.7,1.92,,player.fcgi?id=philli002ril
Cam Robinson,23,2023,Louisville,0,1,0,4.5,7,0,,0,0,0,6,6,6,3,1,2,0,10,1,0,0,28,1.333,9,1.5,3,15,5,,player.fcgi?id=robins001cam
Evan Webster*,21,2023,Louisville,4,2,0.667,3.09,22,3,,0,0,2,35,32,17,12,4,9,0,36,0,0,2,145,1.171,8.2,1,2.3,9.3,4,,player.fcgi?id=webste000eva
Justin West*,19,2023,Louisville,0,0,,0,1,1,,0,0,0,1,1,0,0,0,1,0,1,0,0,0,5,2,9,0,9,9,1,,player.fcgi?id=west--000jus
Ben Wiegman,21,2023,Louisville,1,1,0.5,9,11,0,,0,0,1,10,12,13,10,1,7,0,6,3,0,1,53,1.9,10.8,0.9,6.3,5.4,0.86,,player.fcgi?id=wiegma000ben
Tucker Biven,20,2024,Louisville,4,2,0.667,3.82,24,0,,0,0,5,35.1,39,16,15,4,10,0,40,4,0,4,160,1.387,9.9,1,2.5,10.2,4,,player.fcgi?id=biven-000tuc
Kayden Campbell*,20,2024,Louisville,3,1,0.75,7.65,23,0,,0,0,1,20,24,19,17,3,17,0,22,3,0,6,104,2.05,10.8,1.4,7.7,9.9,1.29,,player.fcgi?id=campbe000kay
Kaleb Corbett,22,2024,Louisville,1,1,0.5,7.59,19,1,,0,0,2,32,31,28,27,9,12,0,37,1,1,3,140,1.344,8.7,2.5,3.4,10.4,3.08,,player.fcgi?id=corbet000kal
Mitchell Dean*,19,2024,Louisville,0,0,,24.92,3,0,,0,0,1,4.1,11,12,12,2,1,0,5,2,0,3,27,2.769,22.8,4.2,2.1,10.4,5,,player.fcgi?id=dean--002mit
Parker Detmers,19,2024,Louisville,2,1,0.667,7.23,14,2,,0,0,0,18.2,21,17,15,1,14,0,17,2,0,2,88,1.875,10.1,0.5,6.8,8.2,1.21,,player.fcgi?id=detmer000par
Korbyn Dickerson,20,2024,Louisville,0,0,,inf,1,0,,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,,,,,,0,,player.fcgi?id=dicker000kor
Patrick Forbes,19,2024,Louisville,0,1,0,3.72,12,4,,0,0,1,29,25,14,12,5,15,0,32,3,0,2,123,1.379,7.8,1.6,4.7,9.9,2.13,,player.fcgi?id=forbes002pat
Sebastian Gongora*,22,2024,Louisville,5,4,0.556,6.14,15,15,,1,0,0,77.2,86,61,53,14,29,0,89,7,1,7,351,1.481,10,1.6,3.4,10.3,3.07,,player.fcgi?id=gongor000seb
Kade Grundy,22,2024,Louisville,0,0,,8.74,9,0,,0,0,0,11.1,16,14,11,3,5,0,11,1,0,4,56,1.853,12.7,2.4,4,8.7,2.2,,player.fcgi?id=grundy000kad
Colton Hartman*,19,2024,Louisville,1,2,0.333,5.9,12,8,,0,0,0,29,25,19,19,5,18,0,37,2,0,2,131,1.483,7.8,1.6,5.6,11.5,2.06,,player.fcgi?id=hartma001col
Jake Karaba,23,2024,Louisville,0,0,,18,7,0,,0,0,0,8,15,16,16,2,9,1,11,0,0,1,45,3,16.9,2.3,10.1,12.4,1.22,,player.fcgi?id=karaba000jak
Josh Klug,19,2024,Louisville,0,0,,0,3,0,,0,0,0,2,0,1,0,0,1,0,0,1,0,0,9,0.5,0,0,4.5,0,0,,player.fcgi?id=klug--000jos
Will Koger,21,2024,Louisville,1,3,0.25,11.25,13,1,,0,0,0,16,26,23,20,3,12,0,10,2,0,4,84,2.375,14.6,1.7,6.8,5.6,0.83,,player.fcgi?id=koger-000wil
Jared Lessman*,21,2024,Louisville,1,1,0.5,6,17,0,,0,0,0,21,19,14,14,4,15,0,15,8,0,1,103,1.619,8.1,1.7,6.4,6.4,1,,player.fcgi?id=lessma000jar
Carson Liggett,21,2024,Louisville,2,2,0.5,6.75,16,6,,0,0,0,33.1,42,29,25,10,10,0,29,4,0,2,158,1.56,11.3,2.7,2.7,7.8,2.9,,player.fcgi?id=ligget000car
Riley Phillips*,22,2024,Louisville,2,2,0.5,8.53,14,2,,0,0,0,25.1,30,27,24,8,18,0,32,3,1,11,128,1.895,10.7,2.8,6.4,11.4,1.78,,player.fcgi?id=philli002ril
Dan Snyder,21,2024,Louisville,2,0,1,10.38,10,0,,0,0,0,13,14,18,15,2,11,0,7,2,0,0,67,1.923,9.7,1.4,7.6,4.8,0.64,,player.fcgi?id=snyder000dan
