Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Willie Argo,22,2012,Illinois,Big Ten,53,239,195,47,62,7,3,1,24,22,4,34,40,0.318,0.43,0.4,0.83,78,,6,2,2,1,,player.fcgi?id=argo--002wil
Ryan Arrick?,--,2012,Illinois,Big Ten,4,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,,0,0,0,0,,player.fcgi?id=arrick000rya
Bill Charvat?,--,2012,Illinois,Big Ten,29,66,61,8,13,4,1,1,14,3,0,3,14,0.213,0.262,0.361,0.622,22,,1,1,0,0,,player.fcgi?id=charva000bil
Josh Ferry?,--,2012,Illinois,Big Ten,13,2,1,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,,0,0,0,0,,player.fcgi?id=ferry-000jos
Chase Hainline?,--,2012,Illinois,Big Ten,2,3,3,2,2,1,0,0,1,0,0,0,0,0.667,0.667,1,1.667,3,,0,0,0,0,,player.fcgi?id=hainli000cha
Davis Hendrickson?,--,2012,Illinois,Big Ten,51,198,171,27,45,9,3,0,32,11,7,14,36,0.263,0.349,0.351,0.699,60,,10,0,3,0,,player.fcgi?id=hendri000dav
Brandon Hohl,21,2012,Illinois,Big Ten,53,230,191,34,51,1,0,5,38,4,2,27,46,0.267,0.368,0.351,0.719,67,,6,2,4,0,,player.fcgi?id=hohl--000bra
Michael Hurwitz#,19,2012,Illinois,Big Ten,28,45,40,4,3,1,1,0,0,0,0,5,13,0.075,0.178,0.15,0.328,6,,0,0,0,0,,player.fcgi?id=hurwit000mic
David Kerian#,19,2012,Illinois,Big Ten,22,31,26,4,5,0,0,0,2,1,0,5,7,0.192,0.323,0.192,0.515,5,,0,0,0,0,,player.fcgi?id=kerian000dav
Will Krug,19,2012,Illinois,Big Ten,32,62,51,10,14,2,0,0,5,3,2,7,15,0.275,0.367,0.314,0.68,16,,1,2,1,0,,player.fcgi?id=krug--000wil
Alex Lincoln?,--,2012,Illinois,Big Ten,28,37,35,2,10,0,0,0,4,1,0,0,7,0.286,0.286,0.286,0.571,10,,0,2,0,0,,player.fcgi?id=lincol000ale
Thomas Lindauer,20,2012,Illinois,Big Ten,52,237,201,37,56,9,3,0,22,15,9,26,27,0.279,0.368,0.353,0.721,71,,4,3,3,0,,player.fcgi?id=lindau000tho
