Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
TJ Lake*,22,2018,West Virginia,Big 12,11,22,18,2,3,1,0,0,0,1,1,1,1,0.167,0.25,0.222,0.472,4,,1,2,0,0,,player.fcgi?id=lake--000tj-
Alek Manoah,20,2018,West Virginia,Big 12,31,16,13,2,1,0,0,0,0,0,0,2,4,0.077,0.25,0.077,0.327,1,,1,0,0,0,,player.fcgi?id=manoah000ale
Brandon White,20,2018,West Virginia,Big 12,56,241,201,30,58,7,2,1,20,22,11,33,39,0.289,0.392,0.358,0.751,72,,2,4,1,0,,player.fcgi?id=white-006bra
Braden Zarbnisky*,21,2018,West Virginia,Big 12,49,241,185,39,48,6,2,0,19,27,6,42,47,0.26,0.403,0.314,0.717,58,,4,8,2,0,,player.fcgi?id=zarbni000bra
Andrew Zitel,22,2018,West Virginia,Big 12,44,134,115,18,27,5,0,1,16,5,2,12,31,0.235,0.318,0.304,0.622,35,,2,5,0,0,,player.fcgi?id=zitel-000and
Cole Austin,20,2017,West Virginia,Big 12,58,268,242,41,73,13,2,7,44,9,3,12,37,0.302,0.345,0.459,0.803,111,,7,1,6,0,,player.fcgi?id=austin000col
Kevin Brophy*,19,2017,West Virginia,Big 12,25,50,40,2,12,2,0,0,4,1,0,10,13,0.3,0.44,0.35,0.79,14,,0,0,0,0,,player.fcgi?id=brophy002kev
Jackson Cramer#,22,2017,West Virginia,Big 12,62,276,233,49,63,14,0,11,46,4,1,34,66,0.27,0.37,0.472,0.842,110,,5,0,4,2,,player.fcgi?id=cramer000jac
Kyle Davis,21,2017,West Virginia,Big 12,62,276,234,41,74,13,3,10,44,1,5,35,47,0.316,0.405,0.526,0.931,123,,2,2,3,2,,player.fcgi?id=davis-005kyl
Jimmy Galusky,21,2017,West Virginia,Big 12,60,234,197,31,48,7,1,4,26,8,4,22,56,0.244,0.329,0.35,0.679,69,,3,12,0,0,,player.fcgi?id=galusk000jim
Iván González,20,2017,West Virginia,Big 12,55,229,205,35,65,9,1,5,29,4,2,12,15,0.317,0.359,0.444,0.803,91,,3,6,3,0,,player.fcgi?id=vera--000iva
Kyle Gray*,20,2017,West Virginia,Big 12,55,256,204,36,53,9,6,3,31,9,8,44,59,0.26,0.393,0.407,0.8,83,,2,4,2,1,,player.fcgi?id=gray--000kyl
Darius Hill*,19,2017,West Virginia,Big 12,61,270,244,39,75,14,1,4,46,5,5,18,33,0.307,0.355,0.422,0.777,103,,1,5,2,1,,player.fcgi?id=hill--002dar
Chase Illig#,20,2017,West Virginia,Big 12,39,114,91,16,22,3,1,3,18,0,0,19,26,0.242,0.389,0.396,0.785,36,,3,1,0,0,,player.fcgi?id=illig-000cha
Marques Inman,20,2017,West Virginia,Big 12,16,62,57,7,20,3,1,2,8,1,0,2,9,0.351,0.387,0.544,0.931,31,,2,0,1,0,,player.fcgi?id=inman-000mar
Isaiah Kearns,19,2017,West Virginia,Big 12,29,12,12,2,3,0,0,2,2,0,0,0,5,0.25,0.25,0.75,1,9,,0,0,0,0,,player.fcgi?id=kearns000isa
TJ Lake*,21,2017,West Virginia,Big 12,45,82,73,12,17,3,0,0,5,6,2,8,19,0.233,0.317,0.274,0.591,20,,1,0,0,1,,player.fcgi?id=lake--000tj-
Alek Manoah,19,2017,West Virginia,Big 12,24,8,7,0,0,0,0,0,0,0,0,1,4,0,0.125,0,0.125,0,,0,0,0,0,,player.fcgi?id=manoah000ale
Riley Troutt,19,2017,West Virginia,Big 12,14,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,,player.fcgi?id=troutt000ril
Brandon White,19,2017,West Virginia,Big 12,55,193,159,22,44,4,2,0,14,13,7,21,32,0.277,0.36,0.327,0.687,52,,2,7,4,0,,player.fcgi?id=white-006bra
Braden Zarbnisky*,20,2017,West Virginia,Big 12,52,150,125,32,42,3,0,1,12,12,0,17,25,0.336,0.417,0.384,0.801,48,,1,6,1,1,,player.fcgi?id=zarbni000bra
Andrew Zitel,21,2017,West Virginia,Big 12,14,17,13,4,2,0,0,1,2,0,0,2,7,0.154,0.267,0.385,0.651,5,,0,2,0,0,,player.fcgi?id=zitel-000and
Cole Austin,19,2016,West Virginia,Big 12,41,160,145,18,32,6,1,4,23,7,1,8,23,0.221,0.27,0.359,0.629,52,,3,1,3,0,,player.fcgi?id=austin000col
Kyle Casserly*,20,2016,West Virginia,Big 12,10,10,8,2,3,0,0,0,0,0,0,2,2,0.375,0.5,0.375,0.875,3,,0,0,0,0,,player.fcgi?id=casser000kyl
Shaun Corso,22,2016,West Virginia,Big 12,28,75,71,3,19,3,0,0,8,1,1,4,16,0.268,0.307,0.31,0.617,22,,0,0,0,0,,player.fcgi?id=corso-000sha
Jackson Cramer#,21,2016,West Virginia,Big 12,56,243,200,34,60,14,3,9,45,7,4,32,59,0.3,0.416,0.535,0.951,107,,9,0,2,1,,player.fcgi?id=cramer000jac
Kyle Davis,20,2016,West Virginia,Big 12,57,261,214,52,60,14,1,10,43,5,3,39,29,0.28,0.394,0.495,0.889,106,,3,2,3,2,,player.fcgi?id=davis-005kyl
Jimmy Galusky,20,2016,West Virginia,Big 12,57,213,188,29,53,9,2,1,18,3,3,13,41,0.282,0.33,0.367,0.697,69,,1,10,1,0,,player.fcgi?id=galusk000jim
Iván González,19,2016,West Virginia,Big 12,43,161,134,22,51,9,3,0,23,5,2,16,13,0.381,0.437,0.493,0.929,66,,2,3,6,0,,player.fcgi?id=vera--000iva
Kyle Gray*,19,2016,West Virginia,Big 12,55,209,174,31,47,6,3,0,22,10,3,24,41,0.27,0.36,0.339,0.699,59,,2,6,3,0,,player.fcgi?id=gray--000kyl
Ray Guerinni,--,2016,West Virginia,Big 12,52,207,166,32,48,10,2,6,26,5,4,21,48,0.289,0.401,0.482,0.883,80,,12,5,3,0,,player.fcgi?id=guerin000ray
Jeff Hardy,21,2016,West Virginia,Big 12,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=hardy-002jef
Darius Hill*,18,2016,West Virginia,Big 12,58,264,219,49,75,20,4,3,40,6,6,32,23,0.343,0.42,0.511,0.932,112,,1,7,5,0,,player.fcgi?id=hill--002dar
KC Huth,23,2016,West Virginia,Big 12,53,202,171,28,45,10,1,4,25,9,6,18,25,0.263,0.332,0.404,0.735,69,,1,9,3,1,,player.fcgi?id=huth--000kc-
Marques Inman,19,2016,West Virginia,Big 12,30,75,66,10,17,4,0,1,14,1,1,4,20,0.258,0.32,0.364,0.684,24,,3,0,2,0,,player.fcgi?id=inman-000mar
Caleb Potter,--,2016,West Virginia,Big 12,24,45,42,6,10,3,0,1,3,1,2,3,12,0.238,0.289,0.381,0.67,16,,0,0,0,0,,player.fcgi?id=potter000cal
Ross Vance*,24,2016,West Virginia,Big 12,18,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,,0,0,0,0,,player.fcgi?id=vance-000ros
Shaun Wood*,23,2016,West Virginia,Big 12,30,45,32,8,7,2,0,3,10,0,0,11,10,0.219,0.409,0.563,0.972,18,,0,1,1,0,,player.fcgi?id=wood--000sha
Braden Zarbnisky*,19,2016,West Virginia,Big 12,44,114,102,14,27,2,1,0,9,3,3,8,10,0.265,0.315,0.304,0.619,31,,0,3,1,0,,player.fcgi?id=zarbni000bra
Andrew Zitel,20,2016,West Virginia,Big 12,15,32,26,3,9,4,0,0,4,1,0,4,8,0.346,0.433,0.5,0.933,13,,0,2,0,0,,player.fcgi?id=zitel-000and
Tucker Cascadden,19,2015,West Virginia,Big 12,22,41,35,8,10,0,0,0,3,1,0,5,9,0.286,0.375,0.286,0.661,10,,0,1,0,0,,player.fcgi?id=cascad000tuc
Kyle Casserly*,19,2015,West Virginia,Big 12,12,15,13,0,4,1,0,0,2,0,0,1,3,0.308,0.4,0.385,0.785,5,,1,0,0,0,,player.fcgi?id=casser000kyl
Shaun Corso,21,2015,West Virginia,Big 12,42,148,133,11,36,5,0,2,16,3,0,8,26,0.271,0.31,0.353,0.664,47,,1,3,3,0,,player.fcgi?id=corso-000sha
Jackson Cramer#,20,2015,West Virginia,Big 12,51,211,179,30,52,15,1,8,21,2,0,27,48,0.291,0.389,0.52,0.908,93,,3,0,2,2,,player.fcgi?id=cramer000jac
Kyle Davis,19,2015,West Virginia,Big 12,53,239,224,40,79,17,1,4,31,4,5,11,37,0.353,0.391,0.491,0.882,110,,3,1,0,0,,player.fcgi?id=davis-005kyl
Justin Fox,23,2015,West Virginia,Big 12,53,241,216,33,59,13,1,3,18,11,3,13,51,0.273,0.332,0.384,0.716,83,,6,6,0,0,,player.fcgi?id=fox---000jus
Ray Guerinni,--,2015,West Virginia,Big 12,46,154,122,19,25,9,0,3,21,5,4,14,50,0.205,0.345,0.353,0.697,43,,12,6,0,1,,player.fcgi?id=guerin000ray
Garrett Hope,21,2015,West Virginia,Big 12,23,54,46,8,13,1,1,1,7,1,1,4,13,0.283,0.389,0.413,0.802,19,,4,0,0,0,,player.fcgi?id=hope--000gar
KC Huth,22,2015,West Virginia,Big 12,52,173,154,18,40,8,2,2,22,2,4,14,25,0.26,0.328,0.377,0.704,58,,2,2,1,1,,player.fcgi?id=huth--000kc-
Brad Johnson,23,2015,West Virginia,Big 12,47,197,166,21,43,9,3,2,27,6,3,27,39,0.259,0.362,0.386,0.748,64,,1,1,2,2,,player.fcgi?id=johnso005bra
